team,logo
Air_Force,\Logos\Air Force.png
Akron,\Logos\Akron.png
Alabama,\Logos\Alabama.png
Appalachian_St,\Logos\Appalachian St.png
Arizona,\Logos\Arizona.png
Arizona_St,\Logos\Arizona St.png
Arkansas,\Logos\Arkansas.png
Arkansas_St,\Logos\Arkansas St.png
Army,\Logos\Army.png
Auburn,\Logos\Auburn.png
Ball_St,\Logos\Ball St.png
Baylor,\Logos\Baylor.png
Boise_St,\Logos\Boise St.png
Boston_College,\Logos\Boston College.png
Bowling_Green,\Logos\Bowling Green.png
Buffalo,\Logos\Buffalo.png
BYU,\Logos\BYU.png
C_Michigan,\Logos\C Michigan.png
California,\Logos\California.png
Charlotte,\Logos\Charlotte.png
Cincinnati,\Logos\Cincinnati.png
Clemson,\Logos\Clemson.png
Coastal_Car,\Logos\Coastal Car.png
Colorado,\Logos\Colorado.png
Colorado_St,\Logos\Colorado St.png
Connecticut,\Logos\Connecticut.png
Duke,\Logos\Duke.png
E_Michigan,\Logos\E Michigan.png
East_Carolina,\Logos\East Carolina.png
FL_Atlantic,\Logos\FL Atlantic.png
Florida,\Logos\Florida.png
Florida_Intl,\Logos\Florida Intl.png
Florida_St,\Logos\Florida St.png
Fresno_St,\Logos\Fresno St.png
Ga_Southern,\Logos\Ga Southern.png
Georgia,\Logos\Georgia.png
Georgia_St,\Logos\Georgia St.png
Georgia_Tech,\Logos\Georgia Tech.png
Hawaii,\Logos\Hawaii.png
Houston,\Logos\Houston.png
Idaho,\Logos\Idaho.png
Illinois,\Logos\Illinois.png
Indiana,\Logos\Indiana.png
Iowa,\Logos\Iowa.png
Iowa_St,\Logos\Iowa St.png
Kansas,\Logos\Kansas.png
Kansas_St,\Logos\Kansas St.png
Kent,\Logos\Kent.png
Kentucky,\Logos\Kentucky.png
Louisiana_Tech,\Logos\Louisiana Tech.png
Louisville,\Logos\Louisville.png
LSU,\Logos\LSU.png
Marshall,\Logos\Marshall.png
Maryland,\Logos\Maryland.png
Massachusetts,\Logos\Massachusetts.png
Memphis,\Logos\Memphis.png
Miami_FL,\Logos\Miami FL.png
Miami_OH,\Logos\Miami OH.png
Michigan,\Logos\Michigan.png
Michigan_St,\Logos\Michigan St.png
Minnesota,\Logos\Minnesota.png
Mississippi,\Logos\Mississippi.png
Mississippi_St,\Logos\Mississippi St.png
Missouri,\Logos\Missouri.png
MTSU,\Logos\MTSU.png
N_Illinois,\Logos\N Illinois.png
Navy,\Logos\Navy.png
NC_State,\Logos\NC State.png
Nebraska,\Logos\Nebraska.png
Nevada,\Logos\Nevada.png
New_Mexico,\Logos\New Mexico.png
New_Mexico_St,\Logos\New Mexico St.png
North_Carolina,\Logos\North Carolina.png
North_Texas,\Logos\North Texas.png
Northwestern,\Logos\Northwestern.png
Notre_Dame,\Logos\Notre Dame.png
Ohio,\Logos\Ohio.png
Ohio_St,\Logos\Ohio St.png
Oklahoma,\Logos\Oklahoma.png
Oklahoma_St,\Logos\Oklahoma St.png
Old_Dominion,\Logos\Old Dominion.png
Oregon,\Logos\Oregon.png
Oregon_St,\Logos\Oregon St.png
Penn_St,\Logos\Penn St.png
Pittsburgh,\Logos\Pittsburgh.png
Purdue,\Logos\Purdue.png
Rice,\Logos\Rice.png
Rutgers,\Logos\Rutgers.png
San_Diego_St,\Logos\San Diego St.png
San_Jose_St,\Logos\San Jose St.png
SMU,\Logos\SMU.png
South_Alabama,\Logos\South Alabama.png
South_Carolina,\Logos\South Carolina.png
South_Florida,\Logos\South Florida.png
Southern_Miss,\Logos\Southern Miss.png
Stanford,\Logos\Stanford.png
Syracuse,\Logos\Syracuse.png
TCU,\Logos\TCU.png
Temple,\Logos\Temple.png
Tennessee,\Logos\Tennessee.png
Texas,\Logos\Texas.png
Texas_A&M,\Logos\Texas A&M.png
Texas_St,\Logos\Texas St.png
Texas_Tech,\Logos\Texas Tech.png
Toledo,\Logos\Toledo.png
Troy,\Logos\Troy.png
Tulane,\Logos\Tulane.png
Tulsa,\Logos\Tulsa.png
UAB,\Logos\UAB.png
UCF,\Logos\UCF.png
UCLA,\Logos\UCLA.png
ULL,\Logos\ULL.png
ULM,\Logos\ULM.png
UNLV,\Logos\UNLV.png
USC,\Logos\USC.png
UT_San_Antonio,\Logos\UT San Antonio.png
Utah,\Logos\Utah.png
Utah_St,\Logos\Utah St.png
UTEP,\Logos\UTEP.png
Vanderbilt,\Logos\Vanderbilt.png
Virginia,\Logos\Virginia.png
Virginia_Tech,\Logos\Virginia Tech.png
W_Michigan,\Logos\W Michigan.png
Wake_Forest,\Logos\Wake Forest.png
Washington,\Logos\Washington.png
Washington_St,\Logos\Washington St.png
West_Virginia,\Logos\West Virginia.png
Wisconsin,\Logos\Wisconsin.png
WKU,\Logos\WKU.png
Wyoming,\Logos\Wyoming.png
